normalised_synonym	normalised_id
progressive neurodegeneration	HP:0002344
progressive mental deterioration	HP:0002344
worsening neurological symptoms	HP:0002344
cerebellar cysts	HP:0002350
abnormal electroencephalogram	HP:0002353
abnormal eeg	HP:0002353
eeg abnormalities	HP:0002353
electroencephalogram abnormal	HP:0002353
electroencephalogram abnormalities	HP:0002353
sleep disturbances	HP:0002360
difficulty sleeping	HP:0002360
sleep disturbance	HP:0002360
sleep dysfunction	HP:0002360
trouble sleeping	HP:0002360
poor coordination	HP:0002370
febrile seizures	HP:0002373
fever induced seizures	HP:0002373
febrile convulsion	HP:0002373
seizures, febrile, in early childhood	HP:0002373
seizures, generalized, associated with fever	HP:0002373
mental deterioration in childhood	HP:0002376
psychomotor regression, progressive	HP:0002376
loss of acquired milestones	HP:0002376
loss of developmental milestones	HP:0002376
neurodevelopmental regression	HP:0002376
psychomotor regression	HP:0002376
psychomotor regression beginning in infancy	HP:0002376
loss of milestones	HP:0002376
psychomotor regression in infants	HP:0002376
hand tremor	HP:0002378
tremors in hands	HP:0002378
tremor of hands	HP:0002378
tremor of hand	HP:0002378
difficulty finding words	HP:0002381
losing words	HP:0002381
loss of words	HP:0002381
brain inflammation	HP:0002383
focal impaired awareness seizures	HP:0002384
complex partial seizures	HP:0002384
complex focal seizures	HP:0002384
focal seizures with impairment of consciousness or awareness	HP:0002384
localized seizure with impaired awareness	HP:0002384
dyscognitive seizures	HP:0002384
localised seizure with impaired awareness	HP:0002384
localized dyscognitive seizure	HP:0002384
partial seizure with impairment of awareness	HP:0002384
focal seizure with loss of awareness	HP:0002384
focal seizure with impairment of awareness	HP:0002384
focal dyscognitive seizure	HP:0002384
localised seizure with loss of awareness	HP:0002384
localized seizure with loss of awareness	HP:0002384
partial dyscognitive seizure	HP:0002384
complex partial seizure	HP:0002384
partial seizure with loss of awareness	HP:0002384
localised dyscognitive seizure	HP:0002384
partial paralysis of legs	HP:0002385
brisk lower extremity reflexes	HP:0002395
leg hyperreflexia	HP:0002395
hyperreflexia in lower limbs	HP:0002395
hyperreflexia in the lower limbs	HP:0002395
overactive lower leg reflex	HP:0002395
increased deep tendon reflexes in the lower limbs	HP:0002395
narrowing of aqueduct of sylvius	HP:0002410
aqueduct stenosis	HP:0002410
aqueduct of sylvius stenosis	HP:0002410
molar tooth sign on imaging	HP:0002419
molar tooth sign on brain imaging	HP:0002419
molar tooth sign	HP:0002419
delay in head control	HP:0002421
infant head lag	HP:0002421
delay in head righting	HP:0002421
poor head control	HP:0002421
acalculia	HP:0002442
weakness of distal muscles	HP:0002460
muscle weakness, distal limbs, due to neuronopathy	HP:0002460
weakness of outermost muscles	HP:0002460
distal limb muscle weakness	HP:0002460
muscle weakness, distal	HP:0002460
distal limb weakness	HP:0002460
distal paresis	HP:0002460
distal muscular weakness	HP:0002460
poor speech	HP:0002465
deficit in expressive language	HP:0002474
delayed relaxation of muscle fibres after contraction	HP:0002486
delayed relaxation of muscle fibers after contraction	HP:0002486
abnormality of subcortical white matter	HP:0002500
white matter abnormalities	HP:0002500
white matter alterations	HP:0002500
abnormality of the cerebral white matter	HP:0002500
leukoaraiosis	HP:0002500
cerebral white matter abnormalities	HP:0002500
degeneration of the spinocerebellar tracts	HP:0002503
spinocerebellar degeneration	HP:0002503
loss of ability to walk	HP:0002505
brainstem hypoplasia/dysplasia	HP:0002508
malformation of brainstem structures	HP:0002508
appendicular hypertonia	HP:0002509
increased muscle tone of arm or leg	HP:0002509
spastic quadriplegia	HP:0002510
abnormal deposits of calcium in the brain	HP:0002514
waddling gait	HP:0002515
waddling walk	HP:0002515
intracranial hypertension	HP:0002516
intracranial pressure elevation	HP:0002516
rise in pressure inside skull	HP:0002516
abnormality of the periventricular white matter	HP:0002518
cerebral gyral anomalies	HP:0002536
abnormal gyration	HP:0002536
inability to walk	HP:0002540
non-ambulatory	HP:0002540
incomprehensible speech	HP:0002546
absent pubic hair	HP:0002555
small nipples	HP:0002557
nipple hypoplasia	HP:0002557
malrotation	HP:0002566
achalasia of the oesophagus	HP:0002571
achalasia of the esophagus	HP:0002571
rectal bleeding	HP:0002573
gi dysmotility	HP:0002579
hyperphagia	HP:0002591
voracious appetite	HP:0002591
abnormality of the vasculature	HP:0002597
vascular abnormalities	HP:0002597
abnormality of blood vessels	HP:0002597
bulge in wall of root of large artery that carries blood away from heart	HP:0002616
increased aortic root diameter	HP:0002616
enlarged aortic root	HP:0002616
aneurysmal dilatation	HP:0002617
wider than typical opening or gap	HP:0002617
abnormal vein	HP:0002624
venous abnormality	HP:0002624
angiitis	HP:0002633
inflammation of blood vessel	HP:0002633
cerebrovascular ischemia	HP:0002637
disruption of blood oxygen supply to brain	HP:0002637
brain ischemia	HP:0002637
tear in inner wall of large artery that carries blood away from heart	HP:0002647
bone pain	HP:0002653
frequent broken bones	HP:0002659
abnormal susceptibility to fractures	HP:0002659
increased tendency to fractures	HP:0002659
bone fragility	HP:0002659
increased susceptibility to fractures	HP:0002659
increased bone fragility	HP:0002659
abnormality of the calvaria	HP:0002683
abnormality of calvarium	HP:0002683
abnormality of cranial vault	HP:0002683
abnormality of the shape of calvarium	HP:0002683
abnormality of the skullcap	HP:0002683
abnormality of the skull cap	HP:0002683
narrow, high-arched roof of mouth	HP:0002705
high narrow palate	HP:0002705
narrow and high arched palate	HP:0002705
high, narrow palate	HP:0002705
narrow, highly arched palate	HP:0002705
gothic palate	HP:0002705
high vaulted palate	HP:0002705
narrow, high-arched palate	HP:0002705
narrow, highly arched roof of mouth	HP:0002705
downturned corners of mouth	HP:0002714
downturned mouth	HP:0002714
downturned oral commisures	HP:0002714
downturned corners of the mouth	HP:0002714
immunological abnormality	HP:0002715
abnormality of the immune system	HP:0002715
lymph node hyperplasia	HP:0002716
swollen lymph nodes	HP:0002716
increased frequency of infection	HP:0002719
frequent infections	HP:0002719
frequent, severe infections	HP:0002719
recurrent infections	HP:0002719
susceptibility to infection	HP:0002719
predisposition to infections	HP:0002719
infections, recurrent	HP:0002719
decreased immune function	HP:0002721
immune deficiency	HP:0002721
sle	HP:0002725
oral white plaque	HP:0002745
oral idiopathic white patch	HP:0002745
oral leucoplakia	HP:0002745
oral leukoplasia	HP:0002745
oral idiopathic leukoplakia	HP:0002745
oral leukokeratosis	HP:0002745
oral idiopathic keratosis	HP:0002745
oral white patch	HP:0002745
leukokeratosis	HP:0002745
respiratory distress due to muscle weakness	HP:0002747
respiratory muscle weakness	HP:0002747
decreased respiratory function due to muscle weakness	HP:0002747
decreased lung function due to weak breathing muscles	HP:0002747
respiratory failure due to muscle weakness	HP:0002747
weak and soft bones	HP:0002748
retarded bone age	HP:0002750
delayed skeletal development	HP:0002750
skeletal maturation retardation	HP:0002750
delayed bone age	HP:0002750
delayed bone maturation	HP:0002750
delayed bone age before puberty	HP:0002750
spontaneous fracture	HP:0002756
increased fractures	HP:0002757
frequent fractures	HP:0002757
multiple spontaneous fractures	HP:0002757
varying degree of multiple fractures	HP:0002757
multiple fractures	HP:0002757
increased fracture rate	HP:0002757
recurrent fractures	HP:0002757
floppy windpipe	HP:0002779
lower respiratory tract infections	HP:0002783
chronic lung infections	HP:0002783
recurrent chest infections	HP:0002783
frequent upper respiratory infections	HP:0002788
recurrent uri	HP:0002788
frequent upper respiratory tract infections	HP:0002788
recurrent upper respiratory infections	HP:0002788
recurrent upper respiratory and lower respiratory infections	HP:0002788
upper respiratory tract infections, recurrent	HP:0002788
recurrent colds	HP:0002788
upper respiratory tract infections	HP:0002788
recurrent upper respiratory infection	HP:0002788
polypnea	HP:0002789
increased respiratory rate or depth of breathing	HP:0002789
alveolar hypoventilation	HP:0002791
slow breathing	HP:0002791
under breathing	HP:0002791
abnormal respiratory patterns	HP:0002793
abnormal pattern of respiration	HP:0002793
unusual breathing patterns	HP:0002793
increased bone resorption	HP:0002797
breakdown of bone	HP:0002797
osteolytic defects of bones	HP:0002797
round back	HP:0002808
hunched back	HP:0002808
gibbus deformity	HP:0002808
hyperkyphosis	HP:0002808
lower limb deformities	HP:0002814
abnormality of the leg	HP:0002814
abnormality of the lower limb	HP:0002814
abnormality of the upper limb	HP:0002817
abnormality of the arm	HP:0002817
joint pain	HP:0002829
arthralgias	HP:0002829
inflammation of the lymph nodes	HP:0002840
reduced igm levels	HP:0002850
decreased igm level	HP:0002850
decreased igm	HP:0002850
igm deficiency	HP:0002850
genua valga	HP:0002857
knock knees	HP:0002857
knee joint valgus deformity	HP:0002857
genu valgus	HP:0002857
genu valga	HP:0002857
rapid breathing	HP:0002883
low blood potassium levels	HP:0002900
low blood calcium levels	HP:0002901
hypocalcaemia	HP:0002901
low blood sodium levels	HP:0002902
high blood bilirubin levels	HP:0002904
high blood phosphate levels	HP:0002905
occult hematuria	HP:0002907
microhematuria	HP:0002907
small amount of blood in urine	HP:0002907
abnormal liver enzymes	HP:0002910
elevated serum transaminases	HP:0002910
subclinical abnormal liver function tests	HP:0002910
high liver enzymes	HP:0002910
elevated liver enzymes	HP:0002910
increased liver function tests	HP:0002910
raised liver enzymes	HP:0002910
increased liver enzymes	HP:0002910
abnormal liver function	HP:0002910
abnormal liver function tests	HP:0002910
elevated transaminases	HP:0002910
elevated circulating hepatic transaminase activity	HP:0002910
increased transaminases	HP:0002910
elevated circulating methylmalonic acid concentration	HP:0002912
low blood magnesium levels	HP:0002917
low blood mg levels	HP:0002917
ketonaciduria	HP:0002919
ketone bodies in urine	HP:0002919
abnormality of the csf	HP:0002921
abnormal csf findings	HP:0002921
abnormality of the cerebrospinal fluid	HP:0002921
abnormal thyroid function	HP:0002926
pyruvate dehydrogenase complex deficiency	HP:0002928
decreased activity of the pdh complex	HP:0002928
distal sensory loss	HP:0002936
distal sensory impairment in lower limbs	HP:0002936
distal sensation loss	HP:0002936
distal sensory loss, upper and lower limbs	HP:0002936
decreased sensation in extremities	HP:0002936
distal sensory impairment of the lower extremities	HP:0002936
loss of distal sensation	HP:0002936
decreased distal sensation	HP:0002936
hemivertebra	HP:0002937
hemi-vertebrae	HP:0002937
missing part of vertebrae	HP:0002937
lumbar lordosis	HP:0002938
prominent lumbar lordosis	HP:0002938
excessive inward curvature of lower spine	HP:0002938
increased lumbar lordosis	HP:0002938
exaggerated lumbar lordosis	HP:0002938
scoliosis, thoracolumbar	HP:0002944
autoimmune condition	HP:0002960
autoimmunity	HP:0002960
autoimmune disease	HP:0002960
autoimmune disorder	HP:0002960
outward bowing at knees	HP:0002970
genu vara	HP:0002970
genua vara	HP:0002970
outward bow-leggedness	HP:0002970
bowed legs	HP:0002979
bow legs	HP:0002979
bow-leggedness	HP:0002979
bowed lower limbs	HP:0002979
bowed femurs	HP:0002980
bowed femur	HP:0002980
bowed femura	HP:0002980
bowed thighbone	HP:0002980
smaller or shorter than typical limbs	HP:0002983
bowed radii	HP:0002986
bowing of outer large bone of the forearm	HP:0002986
bowed radius	HP:0002986
bowing of radius bone of the forearm	HP:0002986
fixed flexion at the elbow joint	HP:0002987
elbow flexion deformity	HP:0002987
elbow flexion contractures	HP:0002987
dislocation of patella	HP:0002999
dislocated patellae	HP:0002999
dislocated kneecap	HP:0002999
prolonged bleeding time	HP:0003010
increased bleeding time	HP:0003010
muscular abnormality	HP:0003011
shortened long tubular bones	HP:0003026
long bone shortening	HP:0003026
short long bone	HP:0003026
short tubular bones	HP:0003026
mesomelic shortening of limbs	HP:0003027
mesomelic limb shortening	HP:0003027
disproportionately short middle portion of limb	HP:0003027
symmetric mesomelic limb shortness	HP:0003027
curving of inner forearm bone	HP:0003031
bowed ulna	HP:0003031
curved ulna	HP:0003031
disease of the joints	HP:0003040
ulnar deviation of wrists	HP:0003049
hypoplastic patellae	HP:0003065
underdeveloped kneecap	HP:0003065
small patellae	HP:0003065
small kneecap	HP:0003065
small patella	HP:0003065
flat end part of bone	HP:0003071
flat epiphyses	HP:0003071
high blood calcium levels	HP:0003072
increased calcium in blood	HP:0003072
hypercalcaemia	HP:0003072
low blood albumin	HP:0003073
hypoalbuminaemia	HP:0003073
high blood glucose	HP:0003074
high blood sugar	HP:0003074
hyperglycaemia	HP:0003074
glucose in urine	HP:0003076
glucosuria	HP:0003076
elevated lipids in blood	HP:0003077
high urine glycine levels	HP:0003108
glycinuria	HP:0003108
pee issues	HP:0003110
urine issues	HP:0003110
abnormality of ion homeostasis	HP:0003111
electrolyte disturbance	HP:0003111
electrolyte disorders	HP:0003111
abnormal ecg	HP:0003115
ekg abnormality	HP:0003115
abnormal ekg	HP:0003115
abnormal electrocardiogram	HP:0003115
abnormal circulating hormone level	HP:0003117
abnormality of circulating hormone level	HP:0003117
limb contractures	HP:0003121
increased total cholesterol	HP:0003124
elevated serum cholesterol	HP:0003124
elevated total cholesterol	HP:0003124
low urine calcium levels	HP:0003127
lacticacidosis	HP:0003128
increased lactate in body	HP:0003128
lactic acidemia	HP:0003128
hyperlacticacidemia	HP:0003128
lacticacidemia	HP:0003128
increased bun	HP:0003138
increased blood urea nitrogen	HP:0003138
decreased circulating cholesterol level	HP:0003146
increased glutarate level in urine	HP:0003150
glutarate aciduria	HP:0003150
glutaricaciduria	HP:0003150
increased circulating acth level	HP:0003154
high blood corticotropin levels	HP:0003154
increased plasma acth	HP:0003154
hyperphosphatasia	HP:0003155
increased alkaline phosphatase	HP:0003155
hyperphosphatasemia	HP:0003155
elevated alp	HP:0003155
elevated alkaline phosphatase	HP:0003155
increased serum alkaline phosphatase	HP:0003155
high serum alkaline phosphatase	HP:0003155
greatly elevated alkaline phosphatase	HP:0003155
elevated urinary delta-aminolevulinic acid	HP:0003163
acetabular protrusion	HP:0003179
abnormally indented hip sockets	HP:0003179
protrusio acetabulae	HP:0003179
underdeveloped breasts	HP:0003187
shortened nose	HP:0003196
decreased length of nose	HP:0003196
hypoplastic nose	HP:0003196
short nose	HP:0003196
nasal hypoplasia	HP:0003196
muscle tissue disease	HP:0003198
myopathic changes	HP:0003198
decreased muscle mass	HP:0003199
muscle degeneration	HP:0003202
amyotrophy	HP:0003202
muscle hypotrophy	HP:0003202
muscle atrophy	HP:0003202
amyotrophy involving the extremities	HP:0003202
muscular atrophy	HP:0003202
neurogenic muscle atrophy	HP:0003202
neurogenic muscle atrophy, especially in the lower limbs	HP:0003202
muscle wasting	HP:0003202
neurogenic muscular atrophy	HP:0003202
muscle atrophy, neurogenic	HP:0003202
elevated serum ige	HP:0003212
increased circulating ige level	HP:0003212
high immunoglobulin e	HP:0003212
elevated immunoglobulin e	HP:0003212
reduced factor v activity	HP:0003225
high blood sodium levels	HP:0003228
tyrosinemia	HP:0003231
increased tyrosine in blood	HP:0003231
decreased circulating high-density lipoprotein levels	HP:0003233
decreased hdl cholesterol	HP:0003233
hypoalphalipoproteinemia	HP:0003233
low hdl-cholesterol	HP:0003233
decreased circulating high-density lipoprotein cholesterol	HP:0003233
decreased plasma carnitine	HP:0003234
high serum creatine kinase	HP:0003236
increased serum creatine kinase	HP:0003236
increased creatine kinase	HP:0003236
increased cpk	HP:0003236
increased creatine phosphokinase	HP:0003236
elevated creatine kinase	HP:0003236
increased serum ck	HP:0003236
elevated serum creatine phosphokinase	HP:0003236
elevated serum cpk	HP:0003236
elevated blood creatine phosphokinase	HP:0003236
elevated circulating creatine phosphokinase	HP:0003236
elevated serum creatine kinase	HP:0003236
increased serum creatine phosphokinase	HP:0003236
genital ulcers	HP:0003249
absent vagina	HP:0003250
congenital absence of the vagina	HP:0003250
belly bloating	HP:0003270
abdominal swelling	HP:0003270
abdominal bloating	HP:0003270
bloating	HP:0003270
abdominal distension	HP:0003270
distended abdomen	HP:0003270
acetabular hypoplasia	HP:0003274
hypoplastic acetabula	HP:0003274
decreased serum alkaline phosphatase	HP:0003282
low alp	HP:0003282
mitochondrial dysfunction	HP:0003287
reduced spine movement	HP:0003306
rigid spine	HP:0003306
prominent swayback	HP:0003307
lordosis	HP:0003307
abnormal vertebral bodies	HP:0003312
abnormally shaped vertebrae	HP:0003312
cervical spine abnormalities	HP:0003319
disorder of cervical vertebra	HP:0003319
abnormal cervical spine	HP:0003319
cervical vertebral abnormalities	HP:0003319
abnormality of the cervical vertebrae	HP:0003319
abnormality of cervical vertebra	HP:0003319
progressive muscular weakness	HP:0003323
muscle weakness, progressive	HP:0003323
limb girdle weakness	HP:0003325
muscle weakness, limb-girdle	HP:0003325
muscular weakness, limb-girdle	HP:0003325
muscle pain	HP:0003326
muscle ache	HP:0003326
3-methylglutaricaciduria	HP:0003344
decreased circulating renin level	HP:0003351
low plasma renin activity	HP:0003351
decreased plasma renin activity	HP:0003351
suppressed plasma renin activity	HP:0003351
high urine amino acid levels	HP:0003355
hyperaminoaciduria	HP:0003355
increased levels of animo acids in urine	HP:0003355
high stepping	HP:0003376
axonal sensory neuropathy	HP:0003390
muscle cramps	HP:0003394
muscle spasms	HP:0003394
paresthesias	HP:0003401
pins and needles feeling	HP:0003401
tingling	HP:0003401
back pain	HP:0003418
lbp	HP:0003419
lumbago	HP:0003419
lower back pain	HP:0003419
dorsolumbar kyphosis	HP:0003423
emg: neurogenic abnormalities	HP:0003445
emg: neurogenic changes	HP:0003445
emg: neurogenic findings	HP:0003445
abnormal emg	HP:0003457
electromyogram abnormal	HP:0003457
abnormal electromyography finding	HP:0003457
emg abnormalities	HP:0003457
myopathic electromyogram	HP:0003458
emg: myopathic changes	HP:0003458
emg: myopathy	HP:0003458
abnormal vertebrae	HP:0003468
vertebral anomalies	HP:0003468
abnormality of the vertebrae	HP:0003468
inability to move	HP:0003470
paralysis	HP:0003470
generalized muscle weakness due to defect at the neuromuscular junction	HP:0003473
myasthenia	HP:0003473
proximal muscle weakness due to defect at the neuromuscular junction	HP:0003473
generalised muscle weakness due to defect at the neuromuscular junction	HP:0003473
fatigable weakness of limb muscles	HP:0003473
myasthenic weakness	HP:0003473
sensory impairment	HP:0003474
extensor plantar responses	HP:0003487
positive babinski sign	HP:0003487
extensor plantar reflexes	HP:0003487
extensor plantar response	HP:0003487
short stature, mild	HP:0003502
short stature, proportionate	HP:0003508
proportionate small stature	HP:0003508
severe short stature	HP:0003510
short stature, extreme	HP:0003510
dwarfism	HP:0003510
proportionate dwarfism	HP:0003510
short stature, severe	HP:0003510
short-trunked dwarfism	HP:0003521
disproportionate short-trunked short stature	HP:0003521
disproportionate short-trunked dwarfism	HP:0003521
glutaric acidemia	HP:0003530
glutarate acidemia	HP:0003530
low exercise endurance	HP:0003546
decreased ability to exercise	HP:0003546
inability to exercise	HP:0003546
poor exercise tolerance	HP:0003546
shoulder girdle weakness	HP:0003547
weak shoulder muscles	HP:0003547
muscle weakness, shoulder-girdle	HP:0003547
shoulder weakness	HP:0003547
elevated sedimentation rate	HP:0003565
raised erythrocyte sedimentation rate	HP:0003565
increased erythrocyte sedimentation rate	HP:0003565
elevated esr	HP:0003565
high esr	HP:0003565
high erythrocyte sedimentation rate	HP:0003565
onset at birth	HP:0003577
symptoms present at birth	HP:0003577
symptoms begin in adulthood	HP:0003581
onset in early adulthood	HP:0003581
onset in adulthood	HP:0003581
onset in first year of life	HP:0003593
onset in infancy	HP:0003593
infantile onset	HP:0003593
high urine trimethylamine levels	HP:0003614
signs and symptoms begin before 15 years of age	HP:0003621
onset in neonatal period	HP:0003623
onset in first weeks of life	HP:0003623
neonatal onset	HP:0003623
age of onset	HP:0003674
age symptoms begin	HP:0003674
limb muscle weakness	HP:0003690
limb weakness	HP:0003690
standing instability	HP:0003698
difficulty in standing	HP:0003698
exercise-induced muscle cramps	HP:0003710
muscle cramps on exercise	HP:0003710
muscle cramps with exertion	HP:0003710
exercise-induced muscle cramping	HP:0003710
muscle cramps on exertion	HP:0003710
muscle cramps following exercise	HP:0003710
generalised muscle hypertrophy	HP:0003720
generalized increase in muscle cell size	HP:0003720
generalised increase in muscle cell size	HP:0003720
muscle pain with exercise	HP:0003738
muscle pain on exercise	HP:0003738
exercise-induced muscle pain	HP:0003738
muscle pain, exercise-induced	HP:0003738
hip-girdle muscle weakness	HP:0003749
hip girdle weakness	HP:0003749
pelvic girdle weakness	HP:0003749
hip girdle muscle weakness	HP:0003749
rimmed vacuoles on biopsy	HP:0003805
abnormal muscle tone	HP:0003808
neonatal lethal	HP:0003811
stillbirth	HP:0003826
late fetal death	HP:0003826
late foetal death	HP:0003826
stillborn	HP:0003826
bowing of the humerus	HP:0003865
humeral bowing	HP:0003865
bowed long bone in upper arm	HP:0003865
trident abnormality	HP:0004060
trident deformity	HP:0004060
permanent curving of the pinkie finger	HP:0004209
bilateral fifth digit clinodactyly	HP:0004209
fifth finger clinodactyly	HP:0004209
bilateral fifth finger clinodactyly	HP:0004209
clinodactyly of the little finger	HP:0004209
clinodactyly of fifth digit	HP:0004209
broken hand bones	HP:0004277
fractured hand bones	HP:0004277
abnormality of gastrointestinal vasculature	HP:0004296
abnormality of gi vasculature	HP:0004296
abnormality of gi blood vessels	HP:0004296
abnormality of external features of the abdomen	HP:0004298
abnormality of the abdominal wall	HP:0004298
herniated abdominal wall	HP:0004299
ventricular arrhythmias	HP:0004308
decreased immunoglobulin level	HP:0004313
decreased serum immunoglobulin	HP:0004313
reduced immunoglobulin levels	HP:0004313
hypogammaglobulinemia	HP:0004313
immunoglobulin deficiency	HP:0004313
decreased antibody level in blood	HP:0004313
decreased circulating antibody level	HP:0004313
decreased serum igg	HP:0004315
decreased igg level	HP:0004315
decreased immunoglobulin g	HP:0004315
decreased gamma-globin expression	HP:0004315
decreased circulating igg level	HP:0004315
igg deficiency	HP:0004315
reduced igg levels	HP:0004315
decreased igg level in blood	HP:0004315
mineralocorticoid insufficiency	HP:0004319
low blood aldosterone level	HP:0004319
decreased serum aldosterone	HP:0004319
decreased aldosterone production	HP:0004319
decreased aldosterone	HP:0004319
hypoaldosteronism	HP:0004319
small stature	HP:0004322
decreased body height	HP:0004322
short stature	HP:0004322
stature below 3rd percentile	HP:0004322
height less than 3rd percentile	HP:0004322
abnormality of body weight	HP:0004323
increased body weight	HP:0004324
low body weight	HP:0004325
decreased weight	HP:0004325
weight less than 3rd percentile	HP:0004325
low weight	HP:0004325
decreased body weight	HP:0004325
wasting syndrome	HP:0004326
abnormal anterior segment morphology	HP:0004328
abnormality of the anterior segment of the eye	HP:0004328
abnormality of the anterior segment of the globe	HP:0004328
abnormality of the anterior segment of the eyeball	HP:0004328
abnormality of the posterior segment of the eyeball	HP:0004329
abnormal morphology of the posterior segment of the globe	HP:0004329
abnormality of the posterior segment of the globe	HP:0004329
abnormality of the posterior segment of the eye	HP:0004329
abnormality of aromatic amino acid family metabolism	HP:0004338
abnormality of bone mineralisation and ossification	HP:0004348
low solidness and mass of the bones	HP:0004349
decreased bone mineral density	HP:0004349
decreased bone mineral density z score	HP:0004349
abnormal circulating ca2+ concentration	HP:0004363
abnormal circulating ca concentration	HP:0004363
abnormal blood calcium concentration	HP:0004363
abnormal blood calcium levels	HP:0004363
impaired temperature control	HP:0004370
inability to regulate temperature	HP:0004370
inability to control temperature	HP:0004370
poor temperature regulation	HP:0004370
abnormality of temperature regulation	HP:0004370
poor temperature control	HP:0004370
poor control of temperature	HP:0004370
unable to control temperature	HP:0004370
poor regulation of temperature	HP:0004370
impaired temperature regulation	HP:0004370
reduced consciousness/confusion	HP:0004372
lowered consciousness	HP:0004372
disturbances of consciousness	HP:0004372
paralysis or weakness of one side of body	HP:0004374
abnormality of the anus	HP:0004378
type 1 truncus arteriosus	HP:0004384
persistent truncus arteriosus type i	HP:0004384
gi inflammation	HP:0004386
gastrointestinal inflammation	HP:0004386
hamartomatous polyps	HP:0004390
gastrointestinal hamartoma	HP:0004390
sore in the lining of gastrointestinal tract	HP:0004398
meconium ileus in neonates	HP:0004401
abnormality of olfaction	HP:0004408
smell defect	HP:0004408
abnormal sense of smell	HP:0004408
abnormality of the sense of smell	HP:0004408
recurrent thrombosis	HP:0004419
recurrent phlebitis	HP:0004419
blood clot in artery	HP:0004420
elevated systolic bp	HP:0004421
immunodeficiency, severe combined	HP:0004430
complement deficiency	HP:0004431
crouzon syndrome	HP:0004439
lambdoid suture craniosynostosis	HP:0004443
lambdoid suture synostosis	HP:0004443
preauricular earpits	HP:0004467
pit in front of the ear	HP:0004467
ear pit	HP:0004467
preauricular pits	HP:0004467
preauricular sinus	HP:0004467
preauricular fistulas	HP:0004467
front fontanelle stays open	HP:0004474
persistent, open anterior fontanel	HP:0004474
progressively abnormally enlarging skull	HP:0004481
macrocephaly, progressive	HP:0004481
progressively abnormally enlarging cranium	HP:0004481
macrocephaly, relative	HP:0004482
relatively large head	HP:0004482
disproportionately large head	HP:0004482
cicatricial alopecia	HP:0004552
pear-shaped vertebral bodies	HP:0004566
klippel-feil syndrome	HP:0004602
klippel-feil anomaly	HP:0004602
fusion of cervical vertebrae c2-3	HP:0004602
webbed 2nd and 3rd toes	HP:0004691
2-3 syndactyly of feet	HP:0004691
2-3 toe soft tissue syndactyly	HP:0004691
toe syndactyly, 2-3	HP:0004691
syndactyly of second and third toes	HP:0004691
partial or complete syndactyly 2nd-3rd toes	HP:0004691
2-3 toes syndactyly	HP:0004691
increased echogenicity of the renal parenchyma	HP:0004719
echogenic kidneys	HP:0004719
episodes of ventricular tachycardia	HP:0004751
svt	HP:0004755
supraventricular tachyarrhythmia	HP:0004755
exercise-induced polymorphic ventricular tachycardia	HP:0004758
catecholaminergic polymorphic ventricular tachycardia	HP:0004758
episodic supraventricular tachycardia	HP:0004763
psvt	HP:0004763
lactose intolerance	HP:0004789
milk intolerance	HP:0004789
gi obstruction	HP:0004796
obstruction in digestive tract	HP:0004796
gastrointestinal obstruction	HP:0004796
recurrent gastrointestinal infections	HP:0004798
recurrent infection of the gi tract	HP:0004798
recurrent infection of the gastrointestinal tract	HP:0004798
congenital haemolytic anemia	HP:0004804
congenital hemolytic anaemia	HP:0004804
congenital haemolytic anaemia	HP:0004804
hereditary pyropoikilocytosis	HP:0004839
hypochromic, microcytic anaemia	HP:0004840
hypochromic microcytic anaemia	HP:0004840
hypochromic, microcytic anemia	HP:0004840
hageman factor deficiency	HP:0004841
factor xii deficiency	HP:0004841
recurrent abdominal hernia	HP:0004872
respiratory distress requiring mechanical ventilation	HP:0004887
respiratory distress necessitating mechanical ventilation	HP:0004887
respiratory distress requiring endotracheal intubation	HP:0004887
type a aortic dissection	HP:0004933
pulmonary atresia	HP:0004935
blood clot in vein	HP:0004936
peripheral pulmonary stenosis	HP:0004969
narrowing of peripheral lung artery	HP:0004969
peripheral pulmonic stenosis	HP:0004969
hypoplastic distal ulna	HP:0005033
distal shortening of ulna	HP:0005033
streak increase in bone density in wide portion of wide bone	HP:0005092
elevated diastolic bp	HP:0005117
abnormality of cardiac atrium morphology	HP:0005120
abnormality of heart atrium	HP:0005120
short p-r interval	HP:0005165
electrocardiographic short pr interval	HP:0005165
shortened pr interval on ekg	HP:0005165
tricuspid insufficiency	HP:0005180
tricuspid valve regurgitation	HP:0005180
premature coronary artery disease	HP:0005181
secretory diarrhoea	HP:0005208
perirectal abscess	HP:0005224
small thorax	HP:0005257
small chest	HP:0005257
early fetal demise	HP:0005268
spontaneous abortion	HP:0005268
early foetal demise	HP:0005268
retruded bridge of nose	HP:0005280
depressed bridge of nose	HP:0005280
depressed nasal bridge	HP:0005280
low nasal bridge	HP:0005280
retruded nasal bridge	HP:0005280
flat, nasal bridge	HP:0005280
flat nasal root	HP:0005280
flattened nasal bridge	HP:0005280
flat bridge of nose	HP:0005280
low nasal root	HP:0005280
flat nasal bridge	HP:0005280
depressed nasal root	HP:0005280
small nasal bridge	HP:0005281
decreased size of bridge of nose	HP:0005281
small bridge of nose	HP:0005281
decreased size of nasal bridge	HP:0005281
hypoplastic bridge of nose	HP:0005281
athymia	HP:0005359
absent thymus	HP:0005359
obliterated fontanelles	HP:0005458
premature fontanel closure	HP:0005458
early closure of the fontanelles	HP:0005458
